programAk,tradeName,displayTradeName,promptTradeName,socCode,description
2235,Hazardous Materials Removal Worker,Hazardous Materials Removal Worker,Hazardous Materials Removal Worker,47-2061.00,"A Hazardous Materials Removal Worker finds, contains, removes, and disposes of dangerous materials such as asbestos, lead, mold, or chemical waste from buildings and work sites. They wear protective gear, seal off areas, use special tools, and clean surfaces safely. Their work helps keep homes, schools, and job sites safer and healthier to use."
2245,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
2317,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
2327,Sprinkler Fitter,Sprinkler Fitter,Sprinkler Fitter,47-2152.00,"A Sprinkler Fitter installs, repairs, and tests fire sprinkler systems in buildings. They measure and cut pipe, hang and join sections overhead, connect valves and sprinkler heads, and check water flow and pressure to make sure the system works properly. Their work helps protect people, property, and buildings from fire damage."
2354,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
2356,Electrical (Outside) Line Worker,Electrical Line Worker,Electrical (Outside) Line Worker,49-9051.00,"An outside Electrical Line Worker builds, repairs, and maintains overhead and underground power lines and related equipment. They climb poles or work from bucket trucks, string wire, replace damaged lines, connect transformers, and restore service after storms and outages. Their work keeps electricity flowing to homes, schools, businesses, and streetlights safely and reliably."
2369,Refrigeration and Air Conditioning Mechanic,Refrigeration and Air Conditioning Mechanic,Refrigeration and Air Conditioning Mechanic,49-9021.00,"A Refrigeration and Air Conditioning Mechanic installs, tests, repairs, and maintains cooling and climate-control systems in homes, stores, offices, and industrial buildings. They connect pipes and wiring, check refrigerant levels, replace worn parts, and diagnose problems with compressors, fans, and thermostats. Their work keeps food cold, indoor spaces comfortable, and equipment running safely."
2412,Boilermaker (Construction),Boilermaker,Boilermaker (Construction),47-2011.00,"A Boilermaker in construction builds, installs, and repairs large metal tanks, boilers, and pressure vessels on job sites. They read blueprints, cut and fit steel plates, weld parts together, bolt sections in place, and test for leaks or pressure problems. Their work helps keep industrial buildings, heating systems, and heavy equipment running safely."
2422,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
2442,Wastewater Systems Operation Specialist,Wastewater Systems Operation Specialist,Wastewater Systems Operation Specialist,51-8031.00,"A Wastewater Systems Operation Specialist runs and monitors the equipment that moves and cleans sewage at treatment plants and pump stations. They test water, adjust chemical levels, inspect pipes and tanks, record readings, and fix or report problems. Their work keeps wastewater systems running properly and protects public health, waterways, and the environment."
2444,Cloud Engineer,Cloud Engineer,Cloud Engineer,15-1299.08,"A Cloud Engineer builds and manages the online systems that store data, run apps, and connect services over the internet. They set up servers, networks, security tools, and backups, monitor performance, and fix outages or slowdowns. Their work keeps websites, business systems, and digital tools running reliably, securely, and smoothly every day."
2450,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
2455,Roofer,Roofer,Roofer,47-2181.00,"A Roofer builds, repairs, and replaces roofs on homes, shops, and other buildings. They tear off old shingles, lay underlayment, fasten shingles, tiles, or metal panels, seal flashing around vents and chimneys, and work high up in changing weather. Their work keeps buildings dry, insulated, and protected from leaks and damage."
2462,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
2481,School Administrator (Building Administrator),School Administrator,School Administrator (Building Administrator),11-9032.00,"A School Administrator who leads a school building manages daily operations, staff, budgets, schedules, student discipline, and communication with families. They walk classrooms and hallways, meet with teachers and parents, handle problems, and make sure school rules and programs are followed. Their work keeps the school organized, safe, and running smoothly for students and staff."
2520,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
2521,Machine Builder,Machine Builder,Machine Builder,51-2031.00,"A Machine Builder assembles, fits, and tests industrial machines from metal parts, motors, belts, wiring, and control systems. They read blueprints, use hand and power tools, line up moving parts, make adjustments, and fix problems during setup. Their work builds equipment that keeps factories, packaging lines, and other production systems running safely and smoothly."
2541,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
2562,Groundskeeper,Groundskeeper,Groundskeeper,37-3011.00,"A Groundskeeper cares for outdoor areas such as parks, school grounds, golf courses, and business properties. They mow grass, trim shrubs, plant flowers, rake leaves, water lawns, clear litter, and use tools and small machines to keep grounds neat. Their work keeps outdoor spaces clean, usable, attractive, and safer for everyday use."
2570,Alcoholism and Substance Abuse Counselor Aide,Alcoholism and Substance Abuse Counselor Aide,Alcoholism and Substance Abuse Counselor Aide,21-1093.00,"An Alcoholism and Substance Abuse Counselor Aide supports treatment programs for people dealing with addiction. They greet clients, set up rooms, keep records, schedule appointments, lead basic activities, watch for problems, and help counselors with daily care and program tasks. Their work helps treatment services stay organized, safe, and running smoothly for clients and staff."
2582,"Painter, Decorator & Paperhanger","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
2585,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
2592,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
2637,Systems Engineer,Systems Engineer,Systems Engineer,15-1244.00,"A Systems Engineer plans and manages how complex computer, software, and hardware systems work together. They gather needs, design system layouts, test parts, fix problems, and help teams connect networks, servers, databases, and applications into one working setup. Their work keeps important technology running smoothly, securely, and reliably for everyday business and public services."
2640,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
2642,Painter and Decorator (Structural Steel-Bridges),Painter and Decorator,Painter and Decorator (Structural Steel-Bridges),47-2141.00,"A Painter and Decorator working on structural steel bridges cleans, sands, blasts, and coats steel beams, railings, and other bridge parts with protective paint systems. They set up equipment, prepare surfaces, and apply finishes that resist rust, weather, and wear, often high above the ground. Their work helps keep bridges strong, safe, and lasting longer."
2643,"Housekeeper (Commercial, Residential, Industrial)",Housekeeper,"Housekeeper (Commercial, Residential, Industrial)",37-2012.00,"A Housekeeper cleans and maintains homes, offices, hotels, hospitals, factories, and other buildings. They vacuum floors, dust surfaces, scrub bathrooms, change linens, empty trash, restock supplies, and sometimes wash windows or sanitize work areas. Their work keeps indoor spaces clean, organized, healthier to use, and safer for the people in them."
2649,Certified Recovery Peer Advocate,Certified Recovery Peer Advocate,Certified Recovery Peer Advocate,21-1093.00,"A Certified Recovery Peer Advocate supports people who are working to recover from addiction or mental health challenges by sharing their own lived experience. They meet one-on-one, lead support groups, help people find housing, treatment, or community services, and encourage healthy routines. Their work helps people stay connected, supported, and moving forward in daily life."
2659,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,47-2021.00,"A Bricklayer Mason and Plasterer builds and repairs walls, chimneys, fireplaces, and other structures using brick, block, stone, mortar, and plaster. They spread mortar, lay materials in straight lines, smooth plaster onto walls and ceilings, and patch damaged surfaces. Their work builds strong, finished surfaces that protect buildings and keep them safe and weather-resistant."
2692,Electro-Mechanical Technician,Electro-Mechanical Technician,Electro-Mechanical Technician,17-3024.00,"An Electro-Mechanical Technician installs, tests, repairs, and maintains machines that use both electrical parts and moving mechanical systems. They trace wiring, replace sensors or motors, adjust belts and gears, and use meters and tools to find problems. Their work keeps equipment running safely and smoothly in factories, buildings, and other workplaces."
2696,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
2704,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
2710,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
2717,Plant Maintenance-Carpenter,Plant Maintenance-Carpenter,Plant Maintenance-Carpenter,47-2031.00,"A Plant Maintenance-Carpenter maintains and repairs wooden structures, fixtures, and building parts in factories, plants, or large facilities. They fix doors, walls, floors, stairs, and work platforms, build partitions or storage areas, and use hand and power tools to measure, cut, and install materials. Their work keeps buildings solid, equipment areas usable, and workplaces safer."
2722,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
2727,Sprinkler Fitter,Sprinkler Fitter,Sprinkler Fitter,47-2152.00,"A Sprinkler Fitter installs, repairs, and tests fire sprinkler systems in buildings. They measure and cut pipe, hang and join sections overhead, connect valves and sprinkler heads, and check water flow and pressure to make sure the system works properly. Their work helps protect people, property, and buildings from fire damage."
2788,Maintenance Mechanic (Automatic Equipment),Maintenance Mechanic,Maintenance Mechanic (Automatic Equipment),49-9041.00,"A Maintenance Mechanic who works on automatic equipment installs, inspects, repairs, and adjusts machines that run by themselves in factories, plants, or large buildings. They replace worn parts, lubricate moving pieces, test controls, and troubleshoot breakdowns with tools and meters. Their work keeps equipment running safely, smoothly, and with less downtime."
2790,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
2820,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
2853,Refrigeration and Air Conditioning Mechanic,Refrigeration and Air Conditioning Mechanic,Refrigeration and Air Conditioning Mechanic,49-9021.00,"A Refrigeration and Air Conditioning Mechanic installs, tests, repairs, and maintains cooling and climate-control systems in homes, stores, offices, and industrial buildings. They connect pipes and wiring, check refrigerant levels, replace worn parts, and diagnose problems with compressors, fans, and thermostats. Their work keeps food cold, indoor spaces comfortable, and equipment running safely."
2854,Construction Manager,Construction Manager,Construction Manager,11-9021.00,"A Construction Manager plans and oversees building projects from start to finish. They schedule crews, order materials, track costs, inspect work on site, solve problems, and make sure jobs follow plans, codes, and safety rules. Their work keeps construction projects organized, on budget, and safe for workers and the people who use the finished buildings."
2861,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
2864,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
2875,Customer Service Representative,Customer Service Representative,Customer Service Representative,43-4051.00,"A Customer Service Representative helps people with questions, orders, returns, billing, or problems with a company’s products or services. They answer phone calls, emails, or chats, look up account details, explain options, process changes, and solve issues while staying calm and clear. Their work keeps services running smoothly and helps customers get what they need."
2882,Teacher,Teacher,Teacher,25-2021.00,"A Teacher plans lessons, explains ideas, leads class activities, and helps students learn new skills and information. They teach from books, boards, screens, and hands-on materials, answer questions, mark work, and keep the classroom organized and focused each day. Their work builds knowledge, improves skills, and helps schools keep learning on track."
2886,Electronics Mechanic (CNC Systems Maintenance),Electronics Mechanic,Electronics Mechanic (CNC Systems Maintenance),47-2111.00,"An Electronics Mechanic who maintains CNC systems installs, tests, troubleshoots, and repairs the electronic controls in computer-guided machines. They trace wiring, replace circuit boards, calibrate sensors, and use meters and diagrams to find faults on the shop floor. Their work keeps factory machines running accurately, safely, and with less downtime."
2913,Tool and Die Maker,Tool and Die Maker,Tool and Die Maker,51-4111.00,"A Tool and Die Maker builds and repairs the metal tools, molds, and dies used to shape parts in factories. They read drawings, measure precisely, cut and grind metal, and fit pieces together using machines and hand tools. Their work keeps manufacturing equipment accurate, products consistent, and production lines running smoothly."
2951,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
2976,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
2985,Quality Assurance Auditor-A,Quality Assurance Auditor-A,Quality Assurance Auditor-A,15-1253.00,"A Quality Assurance Auditor-A checks whether products, materials, or work processes meet company and industry standards. They inspect items, review records, watch how work is done, note defects, and write reports on problems they find. Their work helps catch mistakes early and keeps goods consistent, safe, and ready for customers or further use."
2993,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
3016,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
3064,Pharmacy Associate,Pharmacy Associate,Pharmacy Associate,31-9095.00,"A Pharmacy Associate works in a pharmacy helping fill prescriptions and serve customers. They count pills, label bottles, stock shelves, handle cash registers, answer basic questions, and keep records organized while working with pharmacists and pharmacy technicians. Their work helps people get the right medicines on time and keeps the pharmacy running safely and smoothly."
3123,Robotics Technician,Robotics Technician,Robotics Technician,17-3024.01,"A Robotics Technician builds, installs, tests, and repairs robotic machines and automated equipment. They wire parts, replace sensors and motors, adjust controls, run test cycles, and troubleshoot problems on factory floors or in workshops. Their work keeps robots moving accurately, production lines running, and equipment safer and more reliable in everyday manufacturing."
3126,Dairy Specialist,Dairy Specialist,Dairy Specialist,45-2093.00,"A Dairy Specialist works with milk and dairy products in processing plants, farms, or food facilities. They test milk quality, monitor equipment, check cleanliness, track temperatures, and help make products like cheese, butter, or yogurt follow safety and quality standards. Their work helps keep dairy products safe, fresh, and ready for everyday use."
3164,Diesel Engine Mechanic,Diesel Engine Mechanic,Diesel Engine Mechanic,49-3031.00,"A Diesel Engine Mechanic repairs, services, and tests diesel-powered engines in trucks, buses, heavy equipment, and other machines. They inspect parts, change filters and fluids, use diagnostic tools to find problems, and replace worn brakes, belts, or fuel system parts. Their work keeps vehicles and equipment running safely, reliably, and efficiently."
3196,Fiber Optic Calibration Technician,Fiber Optic Calibration Technician,Fiber Optic Calibration Technician,17-3029.08,"A Fiber Optic Calibration Technician tests and fine-tunes fiber optic cables, sensors, and measuring equipment so signals stay accurate and clear. They connect lines, run light and signal checks, adjust instruments, record results, and replace faulty parts in labs, plants, or field settings. Their work keeps communication systems, data networks, and precision equipment running reliably."
3259,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
3282,Moldmaker,Moldmaker,Moldmaker,51-4111.00,"A Moldmaker builds and repairs the metal molds used to shape plastic, rubber, or metal parts in factories. They read drawings, machine and polish mold pieces, fit them together with great accuracy, and test how they open, close, and form parts. Their work helps everyday products come out the right size, shape, and quality."
3374,Tile Setter (4 Year),Tile Setter,Tile Setter (),47-2044.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and other buildings. They measure spaces, spread adhesive, cut tile to fit around corners and pipes, set each piece in place, and finish joints with grout. Their work creates durable, easy-to-clean surfaces and helps keep rooms protected from wear and water."
3449,Glazier,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
3459,Electrician (Housewire or Residential),Electrician,Electrician (Housewire or Residential),47-2111.00,"A residential Electrician installs, connects, tests, and repairs wiring, outlets, switches, breaker panels, and light fixtures in houses and apartments. They read plans, run cable through walls and ceilings, use hand and power tools, and check that electrical systems work properly and meet safety codes. Their work keeps homes powered, safe, and working reliably every day."
3477,Fire Fighter-EMT,Fire Fighter-EMT,Fire Fighter-EMT,33-2011.00,"A Fire Fighter-EMT responds to fires, medical emergencies, car crashes, and rescue calls. They drive emergency vehicles, carry hoses and tools, enter smoke-filled spaces, give first aid, use oxygen and heart monitors, and help move injured people to ambulances. Their work puts out fires, treats injuries, and helps keep people, homes, and public places safer."
3509,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
3523,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
3531,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
3550,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
3565,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
3576,Plumber and Steamfitter,Plumber and Steamfitter,Plumber and Steamfitter,47-2152.00,"A Plumber and Steamfitter installs, repairs, and maintains water, drainage, gas, and steam piping systems in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, read blueprints, test for leaks, and work around boilers and pumps. Their work keeps water flowing, heat working, and buildings safe to use."
3579,Teacher,Teacher,Teacher,25-2021.00,"A Teacher plans lessons, explains ideas, leads class activities, and helps students learn new skills and information. They teach from books, boards, screens, and hands-on materials, answer questions, mark work, and keep the classroom organized and focused each day. Their work builds knowledge, improves skills, and helps schools keep learning on track."
3590,Maintenance Mechanic (Automatic Equipment),Maintenance Mechanic,Maintenance Mechanic (Automatic Equipment),49-9041.00,"A Maintenance Mechanic who works on automatic equipment installs, inspects, repairs, and adjusts machines that run by themselves in factories, plants, or large buildings. They replace worn parts, lubricate moving pieces, test controls, and troubleshoot breakdowns with tools and meters. Their work keeps equipment running safely, smoothly, and with less downtime."
3610,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
3618,Machinist,Machinist,Machinist,51-4041.00,"A Machinist makes precise metal parts for machines, tools, and equipment. They read blueprints, set up lathes, mills, grinders, and computer-controlled machines, then cut, drill, and shape metal to exact sizes. They also check measurements and finish surfaces. Their work builds parts that fit properly and keeps vehicles, factories, and everyday equipment running safely."
3642,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
3656,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
3662,Police Officer,Police Officer,Police Officer,33-3051.00,"A Police Officer enforces laws and helps keep order in the community. They patrol neighborhoods and roads, respond to emergencies, question people, direct traffic, investigate crimes, make arrests, and write reports, often switching quickly from routine checks to urgent calls. Their work helps protect people and property, keeps public spaces safer, and keeps daily life running more smoothly."
3665,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
3678,Plant Maintenance-Pipefitter,Plant Maintenance-Pipefitter,Plant Maintenance-Pipefitter,47-2152.00,"A Plant Maintenance-Pipefitter installs, repairs, and maintains the pipes, valves, pumps, and fittings that carry water, steam, air, gas, and chemicals through a factory or plant. They cut and thread pipe, replace worn parts, check for leaks, and read layout drawings. Their work keeps equipment running safely and helps prevent shutdowns."
3680,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
3708,Software Developer,Software Developer,Software Developer,15-1251.00,"A Software Developer creates and updates computer programs, apps, and digital systems. They write code, test features, fix bugs, review how software works, and work with teammates to turn ideas into tools people can use on screens every day. Their work builds and keeps digital services running for communication, shopping, work, and daily tasks."
3759,Precision Optics Manufacturing Technician,Precision Optics Manufacturing Technician,Precision Optics Manufacturing Technician,51-2099.00,"A Precision Optics Manufacturing Technician makes high-precision glass or crystal parts used in devices like microscopes, cameras, lasers, and medical tools. They cut, grind, polish, coat, clean, and inspect lenses, mirrors, and prisms using specialized machines and measuring tools. Their work helps optical equipment stay accurate, reliable, and safe for everyday use."
3784,Security Analyst,Security Analyst,Security Analyst,15-1212.00,"A Security Analyst protects an organization’s computer systems, networks, and data from cyber threats. They watch for suspicious activity, review alerts, test for weak spots, investigate breaches, and help set up tools and rules that block attacks. Their work helps keep information private, systems running, and online services safer for everyday use."
3786,Cook (Chef),Cook,Cook (Chef),35-2014.00,"A Cook prepares and cooks meals in places like restaurants, cafeterias, hospitals, or hotels. They chop and season ingredients, use grills, ovens, and stovetops, plate food, clean work areas, and follow food safety rules while keeping pace during busy meal times. Their work keeps people fed with meals that are safe, timely, and ready to serve."
3802,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
3829,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
3854,Plumber and Steamfitter,Plumber and Steamfitter,Plumber and Steamfitter,47-2152.00,"A Plumber and Steamfitter installs, repairs, and maintains water, drainage, gas, and steam piping systems in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, read blueprints, test for leaks, and work around boilers and pumps. Their work keeps water flowing, heat working, and buildings safe to use."
